,mmsi,basedatetime,lat,lon,sog,cog,heading,vesselname,imo,callsign,vesseltype,vesselstatus,vessellength,vesselwidth,draft,cargo,geom,id,geometry,distance
15291,368206000,2016-01-13 14:36:49,44.57305,-124.15844,9.0,-59.3,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E6100000359886E1230A5FC0857CD0B359494640,8955833,POINT (408021.5876474905 4936176.068733299),13680.841444968293
15467,368206000,2016-01-13 14:40:49,44.58249,-124.16037,8.6,-58.3,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E61000009C508880430A5FC09F1F46088F4A4640,8962464,POINT (407883.2555121594 4937226.835288634),13027.70360697708
15717,368206000,2016-01-13 14:38:10,44.57622,-124.15906,8.9,-58.9,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E61000008386FE092E0A5FC08BA6B393C1494640,8975418,POINT (407977.3604858902 4936528.889207644),13457.663193543389
15888,368206000,2016-01-13 15:11:19,44.65541,-124.17553,8.4,-56.0,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E6100000E15D2EE23B0B5FC056BC9179E4534640,8983504,POINT (406796.5097284563 4945344.028422852),10502.180181994814
15889,368206000,2016-01-13 15:23:00,44.68409,-124.17994,9.1,-54.0,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E610000081CF0F23840B5FC0A4C2D84290574640,8983549,POINT (406492.9864871755 4948534.888979897),11230.826588413112
16028,368206000,2016-01-13 15:30:20,44.70228,-124.18223,9.2,-52.6,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E6100000689604A8A90B5FC04451A04FE4594640,8990288,POINT (406340.8366277282 4950558.094686651),12149.556951959292
16121,368206000,2016-01-13 15:19:00,44.67402,-124.17854,9.2,-54.5,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E6100000C84109336D0B5FC0CA6C904946564640,8994590,POINT (406587.7523290252 4947414.693767762),10862.441235174225
16134,368206000,2016-01-13 15:42:39,44.73212,-124.18642,8.9,-53.8,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E610000080D4264EEE0B5FC0AF5FB01BB65D4640,8995107,POINT (406057.194493853 4953877.610920808),14143.425410130973
16135,368206000,2016-01-13 14:39:30,44.57943,-124.15974,8.3,-59.1,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E61000003CF71E2E390A5FC0202922C32A4A4640,8995116,POINT (407928.4386889787 4936886.221108607),13233.954267610165
16407,368206000,2016-01-13 15:35:30,44.71495,-124.184,8.9,-54.3,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E6100000B29DEFA7C60B5FC03A234A7B835B4640,9009208,POINT (406221.0759699666 4951967.539584498),12929.511264868806
16436,368206000,2016-01-13 15:40:09,44.7261,-124.18557,9.4,-57.2,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E61000009947FE60E00B5FC014D044D8F05C4640,9010082,POINT (406114.759727476 4953207.914850215),13699.602822449842
16482,368206000,2016-01-13 15:38:59,44.72322,-124.18515,9.0,-56.5,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E6100000AEB6627FD90B5FC014E81379925C4640,9012531,POINT (406143.3622242119 4952887.513782773),13494.708119860368
